profile_id,user_id,nome_completo
82a11a00-c5a5-4b9a-bb2e-8c651297e901,ddc2af8a-a9aa-4bcc-bef3-9f99f0201265,Amanda Ribeiro
aaaa91f2-1e89-4765-b339-54fa07826f15,639b4aa5-dc70-4a06-909e-f881aba28253,Carolina Melo
a4077727-70cd-473e-aef6-7734f9a4ca74,72b12193-7d11-4d99-ac96-7bdd93bd8c60,Diego Pereira
40823a45-de4d-4c90-bbc4-70cb415d09de,3ad56028-68bb-4a79-b319-e91fdac5bf6f,Eduarda Costa
6c314abd-64b9-4a87-aec3-9645c2975a54,f9775d26-3a3d-4cb8-a4d7-b19aeaa81eb3,Fabrício Lopes
ca45bd1b-38c9-4d20-ace8-84d3ebb76d20,54363484-5e1d-46f4-a9d5-176c3a0fe40f,Felipe Nunes
2ee844e1-7e34-49aa-aa26-35d1934334ce,846586db-80d3-4ad7-98f9-33b2e87a3a37,Gustavo Correia
842e5ba1-797f-487a-8222-90aaae0b0a94,10fde26e-6d24-4ea2-afb3-651d78ded2de,Isabela Gomes
c3e52b09-28e0-452d-aed2-01072d81e367,28501795-57ef-47cc-a35d-70f6a0ab8487,Marcos Pinto
5fa42db2-148a-45e1-bee0-ddd655a70b3a,056e969a-ad80-40dc-a687-ee3b35263fec,Natália Barbosa
013636dd-287c-4c55-95d7-840267629e54,c6bf4ed4-9a1a-4b06-9f37-09556ebbc145,Paula Moreira
20effc5e-730a-4e1c-a245-e0369c87a190,d5dff4ce-aeba-4e59-89a4-c709036fec70,Renato Vieira
0ee33aaf-a391-4ca5-8173-1d94009bbe43,e1f90f88-b2e1-44c9-bc41-b544e5a9c71c,Vanessa Cunha
c9541c21-5c69-4ff9-a4dd-5e69c035a6dd,b0772177-9b14-423a-b64b-c88f97cb1dd6,Vinícius Araújo
